Year,County,Offense Type,Number of Arrests
2013,Dolores,MJPossession,1
2013,Douglas,MJPossession,274
2013,Douglas,MJSales,1
2013,Douglas,MJUnknown,57
2013,Eagle,MJPossession,71
2013,Eagle,MJProduction,1
2013,Eagle,MJSales,3
2013,Eagle,MJUnknown,56
2013,El Paso,MJPossession,427
2013,El Paso,MJProduction,4
2013,El Paso,MJSales,23
2013,El Paso,MJSmuggle,1
2013,El Paso,MJUnknown,69
2013,Elbert,MJPossession,19
2013,Fremont,MJPossession,11
2013,Garfield,MJPossession,42
2013,Garfield,MJSales,2
2013,Garfield,MJUnknown,6
2013,Gilpin,MJPossession,5
2013,Gilpin,MJProduction,2
2013,Grand,MJPossession,2
2013,Gunnison,MJPossession,24
2013,Gunnison,MJProduction,2
2013,Gunnison,MJUnknown,3
2013,Jefferson,MJPossession,660
2013,Jefferson,MJProduction,4
2013,Jefferson,MJSales,7
2013,Jefferson,MJUnknown,120
2013,Kiowa,MJPossession,3
2013,Kit Carson,MJPossession,11
2013,Kit Carson,MJSales,3
2013,La Plata,MJPossession,53
2013,Lake,MJPossession,2
2013,Lake,MJSales,1
2013,Larimer,MJPossession,283
2013,Larimer,MJProduction,1
2013,Larimer,MJSales,11
2013,Larimer,MJUnknown,169
2013,Las Animas,MJPossession,2
2013,Las Animas,MJSales,3
2013,Location not Available,MJPossession,239
2013,Location not Available,MJSales,10
2013,Location not Available,MJSmuggle,2
2013,Location not Available,MJUnknown,32
2013,Logan,MJPossession,2
2013,Logan,MJSales,1
2013,Mesa,MJPossession,327
2013,Mesa,MJProduction,4
2013,Mesa,MJSales,20
2013,Mesa,MJSmuggle,1
2013,Mesa,MJUnknown,68
2013,Moffat,MJPossession,22
2013,Montezuma,MJPossession,6
2013,Montrose,MJPossession,49
2013,Montrose,MJSales,1
2013,Morgan,MJPossession,18
2013,Morgan,MJSales,1
2013,Otero,MJPossession,3
2013,Park,MJPossession,1
2013,Phillips,MJPossession,1
2013,Prowers,MJPossession,30
2013,Prowers,MJSales,2
2013,Prowers,MJUnknown,1
2013,Pueblo,MJPossession,9
2013,Pueblo,MJSales,1
