Year,County,Med_Sales,Rec_Sales
2014,Phillips,0.0,0.0
2014,Cheyenne,0.0,0.0
2014,Clear Creek,102919.0,480132.0
2014,Conejos,0.0,0.0
2014,Costilla,0.0,0.0
2014,Crowley,0.0,0.0
2014,Custer,0.0,0.0
2014,Delta,0.0,0.0
2014,Denver,15861744.0,15901236.0
2014,Dolores,0.0,0.0
2014,Chaffee,75887.0,0.0
2014,Douglas,0.0,0.0
2014,El Paso,6327504.0,0.0
2014,Elbert,0.0,0.0
2014,Fremont,268966.0,0.0
2014,Garfield,531623.0,603468.0
2014,Gilpin,42366.0,155054.0
2014,Grand,0.0,0.0
2014,Gunnison,0.0,309611.0
2014,Hinsdale,0.0,0.0
