"Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)" 1 2
"Annual"
"Table: 36-10-0434-06 (formerly CANSIM 379-0031)"
"Geography: Canada"

"Seasonal adjustment","Prices","Geography","North American Industry Classification System (NAICS)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Seasonally adjusted at annual rates","Chained (2012) dollars 3","Canada","","Dollars",,,,,,,,,,,,,,,,,,,,,,,
,,,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing  [3334]","827","913","918","1,207","1,226","1,202","1,162","1,145","1,134","1,234","1,391","1,290","1,274","1,199","1,264","1,225","1,267","1,291","1,589","1,667","1,786","1,874","2,029",""
,,,"Metalworking machinery manufacturing  [3335]","2,066","2,130","2,160","2,260","2,023","2,270","2,365","2,437","2,412","2,154","2,017","1,928","1,659","1,597","1,782","1,940","1,859","1,879","2,028","1,929","2,504","2,422","2,368",""
,,,"Engine, turbine and power transmission equipment manufacturing  [3336]","856","846","838","1,069","1,155","1,052","632","662","701","722","775","749","666","696","852","767","772","750","665","574","425","459","520",""
,,,"Other general-purpose machinery manufacturing  [3339]","3,408","3,488","3,226","3,560","3,549","3,299","3,350","3,530","3,679","3,772","3,655","3,302","2,608","2,724","3,033","3,212","3,215","3,524","3,557","3,160","3,725","4,319","4,233",""
,,,"Computer and electronic product manufacturing  [334]","8,522","9,502","13,167","14,513","9,978","8,716","8,664","9,609","9,780","9,488","8,411","8,213","7,427","7,765","7,656","6,725","6,103","6,179","5,943","5,845","6,245","6,518","6,526",""
,,,"Computer and peripheral equipment manufacturing  [3341]","350","516","580","921","738","779","905","1,031","944","909","842","795","627","700","736","587","480","501","434","219","203","168","167",""
,,,"Electronic product manufacturing  [334B] 4","","","","","","","","","","","7,563","7,414","6,802","7,066","6,922","6,138","5,625","5,678","5,523","5,717","6,150","6,479","6,490",""
,,,"Communications equipment manufacturing  [3342]","5,193","5,406","8,067","7,255","4,879","3,988","3,143","3,872","4,105","3,681","3,003","3,029","2,765","2,858","2,699","2,365","1,814","1,658","1,706","1,537","1,371","1,755","1,650",""
,,,"Semiconductor and other electronic component manufacturing  [3344]","895","1,182","1,823","3,043","1,290","1,095","1,447","1,604","1,438","1,556","1,319","1,278","1,122","1,225","1,230","1,111","1,071","1,117","1,163","1,336","1,413","1,427","1,411",""
,,,"Other electronic product manufacturing  [334A] 4","","","","","","","","","","","3,233","3,102","2,911","2,979","2,992","2,661","2,746","2,906","2,650","2,809","3,326","3,269","3,403",""
,,,"Electrical equipment, appliance and component manufacturing  [335]","3,958","4,344","4,501","5,426","5,465","4,768","3,791","4,104","4,158","3,973","3,987","4,113","3,754","3,680","4,038","3,994","3,905","3,516","3,828","4,017","4,295","4,406","4,235",""
,,,"Electric lighting equipment manufacturing  [3351]","513","554","616","640","627","623","543","535","592","501","490","530","461","444","466","438","429","478","558","566","591","742","670",""
,,,"Household appliance manufacturing  [3352]","578","606","607","581","576","592","486","534","557","522","474","493","458","432","422","418","311","204","151","164","160","137","148",""
,,,"Electrical equipment manufacturing  [3353]","1,474","1,590","1,599","1,695","1,945","2,058","1,469","1,716","1,675","1,669","1,661","1,703","1,772","1,722","1,893","1,891","1,897","1,599","1,855","1,967","1,976","1,994","1,842",""
,,,"Other electrical equipment and component manufacturing  [3359]","1,319","1,519","1,603","2,462","2,303","1,492","1,274","1,311","1,316","1,273","1,364","1,387","1,060","1,080","1,257","1,247","1,269","1,246","1,275","1,329","1,576","1,560","1,595",""
,,,"Transportation equipment manufacturing  [336]","22,812","24,030","28,756","29,198","26,463","27,107","27,324","28,217","29,871","29,451","28,910","25,474","19,519","22,530","23,940","26,053","25,785","27,972","27,335","27,268","26,787","27,055","27,664",""
,,,"Motor vehicles and parts manufacturing  [336Y] 4","","","","","","","","","","","18,708","14,609","10,157","13,402","14,217","16,071","15,438","16,729","16,431","17,216","16,902","16,651","16,416",""
,,,"Motor vehicle manufacturing  [3361]","5,930","6,305","8,375","8,301","7,325","7,914","7,844","8,118","8,585","8,182","7,745","5,897","4,156","6,188","6,328","7,238","6,905","7,222","6,808","7,229","6,838","6,466","6,463",""
,,,"Motor vehicle body and trailer manufacturing  [3362]","1,161","1,292","1,607","1,814","1,431","1,494","1,478","1,624","1,688","1,868","1,907","1,577","761","730","919","979","953","1,078","1,123","1,031","1,203","1,312","1,247",""
,,,"Motor vehicle parts manufacturing  [3363]","8,220","8,769","9,398","9,652","8,936","9,389","9,740","10,095","10,228","9,722","9,226","7,305","5,314","6,450","6,973","7,854","7,582","8,463","8,593","9,027","9,012","9,106","8,909",""
,,,"Aerospace product and parts manufacturing  [3364]","5,880","5,777","6,568","7,402","7,512","6,473","5,931","6,246","6,898","7,207","7,700","8,657","7,510","7,144","7,242","7,548","7,970","8,685","8,204","7,400","7,115","7,485","8,209",""
,,,"Miscellaneous transportation equipment manufacturing  [336W] 4","","","","","","","","","","","2,399","2,363","2,081","2,003","2,499","2,434","2,366","2,543","2,714","2,725","2,845","2,980","3,079",""
,,,"Railroad rolling stock manufacturing  [3365]","1,386","1,854","2,347","1,815","1,276","1,166","1,005","933","1,098","1,071","891","859","707","528","679","630","614","575","781","702","681","640","786",""
,,,"Ship and boat building  [3366]","522","414","489","498","478","468","494","514","475","476","518","447","404","486","561","606","596","641","707","804","936","943","1,045",""
,,,"Other transportation equipment manufacturing  [3369]","301","276","223","209","194","212","621","527","684","834","965","1,022","947","990","1,259","1,197","1,156","1,325","1,252","1,234","1,243","1,380","1,288",""
,,,"Furniture and related product manufacturing  [337]","4,759","5,637","6,134","7,110","7,382","7,356","6,713","7,013","6,526","6,083","5,790","5,377","4,389","4,427","4,264","4,278","4,423","4,366","4,652","4,853","5,227","4,960","4,996",""
,,,"Household and institutional furniture and kitchen cabinet manufacturing  [3371]","2,537","2,843","3,396","3,842","4,055","4,084","3,890","4,109","3,751","3,373","3,230","2,856","2,464","2,476","2,339","2,392","2,404","2,394","2,568","2,652","2,846","2,754","2,860",""
,,,"Office furniture (including fixtures) manufacturing  [3372]","1,913","2,455","2,406","2,957","2,962","2,897","2,422","2,470","2,287","2,214","2,069","2,030","1,571","1,593","1,569","1,521","1,608","1,588","1,657","1,784","1,954","1,788","1,710",""
,,,"Other furniture-related product manufacturing  [3379]","330","371","377","388","432","438","439","472","504","504","495","494","354","358","359","365","411","383","427","416","425","415","418",""
,,,"Miscellaneous manufacturing  [339]","4,158","4,497","4,305","4,924","4,921","5,490","5,456","5,611","5,429","5,570","5,304","4,876","4,564","4,691","4,932","4,662","4,771","4,497","4,764","5,077","4,973","5,002","5,132",""
,,,"Medical equipment and supplies manufacturing  [3391]","1,054","1,200","1,185","1,423","1,387","1,601","1,527","1,614","1,580","1,804","1,641","1,672","1,750","1,703","1,757","1,630","1,540","1,445","1,517","1,847","2,100","2,193","2,329",""
,,,"Other miscellaneous manufacturing  [3399]","3,089","3,279","3,103","3,483","3,514","3,870","3,906","3,975","3,827","3,743","3,642","3,187","2,809","2,984","3,173","3,032","3,238","3,060","3,257","3,216","2,830","2,757","2,743",""
,,,"Wholesale trade  [41]","50,738","54,639","57,875","61,788","63,064","65,455","68,388","70,811","75,355","79,063","82,652","81,913","76,333","82,073","88,224","91,307","95,163","97,598","94,411","94,253","98,959","99,758","101,320",""
,,,"Farm product wholesaler-distributors  [411]","","","","","","","","","","","1,453","1,485","1,594","1,676","1,486","1,493","1,682","1,852","2,051","2,052","2,220","2,403","2,585",""
,,,"Petroleum product wholesaler-distributors  [412]","","","","","","","","","","","3,303","3,169","3,019","3,156","3,662","3,488","3,962","3,986","3,292","3,563","3,700","3,788","3,685",""
,,,"Food, beverage and tobacco wholesaler-distributors  [413]","","","","","","","","","","","10,679","10,734","10,112","10,547","10,692","10,548","10,668","10,667","10,556","10,155","10,408","10,670","10,388",""
,,,"Personal and household goods wholesaler-distributors  [414]","","","","","","","","","","","11,034","11,356","11,753","12,514","12,735","13,127","14,082","15,311","14,823","15,340","16,472","17,023","17,839",""
,,,"Motor vehicle and parts wholesaler-distributors  [415]","","","","","","","","","","","7,694","7,123","6,632","7,053","7,546","8,840","9,043","9,668","9,974","9,808","10,317","9,945","10,134",""
,,,"Building material and supplies wholesaler-distributors  [416]","","","","","","","","","","","13,579","12,875","12,141","13,327","14,246","14,511","14,742","14,936","14,014","14,213","14,660","14,049","13,801",""
,,,"Machinery, equipment and supplies wholesaler-distributors  [417]","","","","","","","","","","","22,921","22,920","20,852","22,752","25,660","26,672","27,904","27,358","26,340","25,745","27,523","28,477","29,287",""
,,,"Miscellaneous wholesaler-distributors  [418]","","","","","","","","","","","9,021","8,808","7,713","8,572","9,471","9,895","10,284","11,079","10,683","10,628","10,894","10,635","10,965",""
,,,"Wholesale electronic markets, and agents and brokers  [419]","","","","","","","","","","","2,868","3,337","2,496","2,452","2,714","2,733","2,791","2,738","2,759","2,841","2,953","3,001","3,016",""
,,,"Retail trade  [44-45]","50,748","54,220","56,325","60,035","62,968","66,934","69,068","71,400","73,890","78,365","81,372","84,024","81,974","84,347","85,126","85,541","90,309","91,276","91,158","94,633","100,170","101,458","102,250",""
,,,"Motor vehicle and parts dealers  [441]","","","","","","","","","","","11,910","12,450","11,572","11,797","12,277","12,841","13,545","14,013","14,336","15,430","16,697","16,571","16,545",""
,,,"Furniture and home furnishings stores  [442]","","","","","","","","","","","3,845","3,882","3,535","3,799","3,695","3,446","3,698","3,766","3,686","3,996","4,204","4,270","4,342",""
,,,"Electronics and appliance stores  [443]","","","","","","","","","","","2,609","2,885","2,835","3,114","3,606","3,278","3,475","3,425","3,482","3,438","4,068","4,226","3,790",""
,,,"Building material and garden equipment and supplies dealers  [444]","","","","","","","","","","","7,035","7,268","6,729","6,781","6,555","6,482","6,734","7,105","6,915","7,223","7,841","7,874","7,926",""
,,,"Food and beverage stores  [445]","","","","","","","","","","","17,660","18,194","18,039","18,017","17,820","17,950","18,320","17,820","17,033","18,069","18,798","19,016","19,201",""
,,,"Health and personal care stores  [446]","","","","","","","","","","","7,583","8,290","8,196","8,400","8,569","8,914","9,644","9,855","10,220","10,508","11,003","11,261","11,305",""
,,,"Gasoline stations  [447]","","","","","","","","","","","4,829","4,969","4,853","5,066","5,171","5,677","6,257","6,202","5,973","5,996","6,215","6,129","6,037",""
,,,"Clothing and clothing accessories stores  [448]","","","","","","","","","","","7,179","7,250","7,360","7,818","7,790","7,898","8,305","8,433","8,744","8,790","9,303","9,598","9,698",""
,,,"Sporting goods, hobby, book and music stores  [451]","","","","","","","","","","","2,564","2,593","2,606","2,641","2,448","2,449","2,579","2,656","2,810","2,882","3,031","3,012","2,940",""
,,,"General merchandise stores  [452]","","","","","","","","","","","9,823","9,952","9,945","10,306","10,423","9,750","10,067","10,156","9,794","9,698","10,179","10,315","10,633",""
,,,"Miscellaneous store retailers  [453]","","","","","","","","","","","4,408","4,359","4,450","4,642","4,563","4,629","5,045","5,025","5,187","5,392","5,421","5,596","5,570",""
,,,"Miscellaneous store retailers (except cannabis)  [453A]","","","","","","","","","","","3,342","3,250","3,288","3,432","3,302","3,302","3,645","3,555","3,643","3,835","3,892","4,019","4,127",""
,,,"Cannabis stores  [453B]","769","810","849","882","918","944","963","982","1,008","1,041","1,082","1,113","1,162","1,210","1,261","1,328","1,400","1,470","1,546","1,551","1,516","1,563","1,399",""
,,,"Cannabis stores (licensed)  [453BL]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","105",""
,,,"Cannabis stores (unlicensed)  [453BU]","769","810","849","882","918","944","963","982","1,008","1,041","1,082","1,113","1,162","1,210","1,261","1,328","1,400","1,470","1,546","1,551","1,516","1,549","1,294",""
,,,"Non-store retailers  [454]","","","","","","","","","","","1,945","1,922","1,857","1,952","2,203","2,227","2,640","2,821","3,022","3,247","3,471","3,698","4,389",""
,,,"Retail trade (except unlicensed cannabis)  [4AZ] 4","49,937","53,370","55,430","59,115","62,014","65,971","68,090","70,409","72,878","77,331","80,298","82,919","80,813","83,137","83,865","84,213","88,909","89,806","89,619","93,062","98,614","99,868","100,869",""
,,,"Transportation and warehousing  [48-49]","52,865","53,728","56,236","59,136","60,204","60,192","60,364","62,232","65,789","67,386","68,186","67,827","65,361","67,861","70,485","71,428","72,706","77,060","79,095","80,983","85,115","87,794","89,090",""
,,,"Air transportation  [481]","4,158","4,274","4,254","4,383","4,049","3,704","3,463","3,901","4,361","4,625","4,933","5,172","4,696","5,269","6,090","6,486","6,293","7,315","7,661","8,392","9,270","9,925","10,134",""
,,,"Rail transportation  [482]","4,722","4,620","4,926","5,877","5,884","6,028","6,101","6,752","7,204","7,125","6,934","6,312","5,651","6,267","6,285","6,579","7,054","7,677","7,884","7,629","8,111","8,423","8,454",""
,,,"Water transportation  [483]","1,934","1,910","2,092","2,228","2,186","2,223","2,155","2,187","2,322","2,252","1,990","2,027","1,698","1,626","1,677","1,752","1,749","1,754","1,721","1,622","1,735","1,713","1,769",""
,,,"Truck transportation  [484]","10,732","11,324","12,138","13,069","13,865","14,140","13,955","14,559","15,819","16,183","16,599","16,217","15,788","17,004","17,961","18,383","18,935","20,084","20,026","20,801","21,821","22,131","22,296",""
,,,"Transit, ground passenger, scenic and sightseeing transportation  [48Z] 4","","","","","","","","","","","7,915","8,423","7,776","8,086","8,208","8,329","8,445","8,534","8,605","8,860","9,142","9,266","9,424",""
,,,"Urban transit systems  [4851]","3,193","3,212","3,484","3,817","3,695","4,153","4,068","4,142","4,270","4,264","4,818","5,047","4,870","4,997","5,118","5,285","5,327","5,316","5,555","5,680","5,803","5,840","5,966",""
,,,"Taxi and limousine service  [4853]","","","","","","","","","","","1,078","1,189","942","964","944","897","916","1,006","926","1,028","1,070","1,125","1,201",""
,,,"Other transit and ground passenger transportation and scenic and sightseeing transportation  [48A] 4","","","","","","","","","","","2,007","2,165","1,965","2,124","2,146","2,147","2,203","2,215","2,123","2,152","2,269","2,302","2,260",""
,,,"Pipeline transportation  [486]","8,094","8,323","8,559","8,747","9,610","9,885","9,998","9,529","9,787","10,054","9,511","8,307","8,171","7,553","7,950","7,950","7,768","8,441","9,065","9,116","9,434","9,635","9,791",""
,,,"Pipeline transportation of natural gas  [4862]","5,402","5,581","5,839","5,919","6,631","6,809","6,810","6,418","6,725","6,808","6,322","5,320","5,349","4,686","4,574","4,205","3,840","4,339","4,594","4,677","4,742","4,751","4,816",""
,,,"Crude oil and other pipeline transportation  [486A] 4","2,760","2,791","2,704","2,838","2,930","3,032","3,177","3,129","3,041","3,240","3,188","2,987","2,834","2,865","3,379","3,745","3,940","4,099","4,472","4,436","4,700","4,904","4,995",""
,,,"Support activities for transportation  [488]","","","","","","","","","","","10,481","11,438","11,479","11,901","12,168","12,292","12,695","13,651","15,069","15,493","16,322","16,780","17,120",""
,,,"Postal service and couriers and messengers  [49A] 4","6,306","6,518","6,690","7,035","7,083","6,857","7,168","7,132","7,440","7,314","7,502","7,486","7,641","7,533","7,501","7,075","7,038","6,832","6,489","6,233","6,347","6,524","6,613",""
,,,"Postal service  [491]","","","","","","","","","","","3,876","3,647","3,743","3,678","3,622","3,544","3,355","3,272","3,146","2,944","3,069","3,162","3,054",""
,,,"Couriers and messengers  [492]","","","","","","","","","","","3,637","3,841","3,900","3,856","3,882","3,532","3,683","3,559","3,341","3,292","3,278","3,359","3,565",""
,,,"Warehousing and storage  [493]","1,563","1,549","1,731","1,916","1,985","1,972","2,098","2,439","2,445","2,733","2,758","2,665","2,684","2,663","2,668","2,581","2,730","2,798","2,654","2,966","3,061","3,476","3,559",""
,,,"Information and cultural industries  [51]","30,520","32,698","36,045","39,126","41,926","45,393","46,189","49,055","50,822","52,811","52,645","53,044","52,370","53,480","54,218","54,677","54,378","56,130","57,290","59,473","61,258","62,506","63,970",""
,,,"Publishing industries (except Internet)  [511]","5,927","6,885","7,280","7,534","8,009","8,898","8,798","9,421","9,842","10,232","10,524","10,537","9,462","9,369","9,569","9,819","9,780","10,382","10,105","9,826","9,976","10,083","10,446",""
,,,"Motion picture and sound recording industries  [512]","2,860","3,231","3,423","3,525","3,578","3,726","3,381","3,562","3,685","3,820","3,673","3,701","3,671","3,375","3,433","3,339","3,681","4,708","3,830","4,464","4,955","5,219","5,509",""
,,,"Broadcasting (except Internet)  [515]","","","","","","","","","","","4,292","4,149","4,372","4,527","4,623","4,550","4,483","4,198","4,290","4,269","4,150","4,097","3,928",""
,,,"Radio and television broadcasting  [5151]","3,152","3,038","3,136","3,064","3,087","3,188","3,089","3,130","3,058","3,164","3,043","2,941","3,052","3,162","3,204","3,050","2,968","2,832","2,918","2,894","2,818","2,806","2,726",""
,,,"Pay and specialty television  [5152]","","","","","","","","","","","1,251","1,210","1,322","1,367","1,421","1,501","1,515","1,367","1,374","1,376","1,334","1,295","1,210",""
,,,"Telecommunications  [517]","","","","","","","","","","","30,195","30,563","30,929","32,243","32,233","32,489","31,765","31,768","33,175","34,641","35,606","36,888","37,524",""
,,,"Data processing, hosting, and related services  [518]","","","","","","","","","","","2,185","2,348","2,109","2,163","2,461","2,439","2,255","2,387","2,839","3,182","3,362","3,246","3,458",""
,,,"Other information services  [519]","","","","","","","","","","","1,806","1,801","1,855","1,791","1,902","2,041","2,421","2,726","3,073","3,188","3,356","3,163","3,314",""
,,,"Finance and insurance  [52]","66,488","68,405","71,825","75,175","78,667","80,308","81,510","85,785","88,939","96,135","99,995","98,536","97,555","99,679","103,061","104,909","108,753","111,814","117,263","121,385","125,092","127,443","131,352",""
,,,"Credit intermediation and monetary authorities  [52X] 4","36,380","37,525","39,495","40,090","42,933","44,885","46,115","47,594","49,531","52,728","55,853","56,882","56,694","58,282","60,177","61,171","63,641","65,233","69,153","71,884","74,412","76,013","78,786",""
,,,"Depository credit intermediation and monetary authorities  [52B] 4","33,778","35,185","34,844","36,527","37,674","38,287","39,450","40,639","41,946","44,284","46,760","48,672","48,704","51,685","53,704","54,851","57,151","58,493","61,750","64,076","66,031","67,332","69,821",""
,,,"Local credit unions  [52213]","2,323","2,340","2,608","2,556","2,499","2,714","2,824","2,993","3,095","3,227","3,369","3,474","3,434","3,571","3,645","3,848","3,900","4,039","4,099","4,185","4,389","4,575","4,743",""
,,,"Banking, monetary authorities and other depository credit intermediation  [52BX] 4","","","","","","","","","","","43,367","45,179","45,258","48,110","50,060","51,004","53,250","54,455","57,639","59,872","61,629","62,752","65,073",""
,,,"Non-depository credit intermediation and activities related to credit intermediation  [522A] 4","2,731","2,398","4,714","3,756","5,285","6,476","6,555","6,827","7,381","8,153","8,756","8,081","7,897","6,613","6,480","6,319","6,489","6,744","7,433","7,853","8,462","8,778","9,062",""
,,,"Non-depository credit intermediation  [5222]","","","","","","","","","","","6,931","6,401","5,722","4,720","4,556","4,221","4,267","4,362","4,738","5,058","5,485","5,680","5,801",""
,,,"Activities related to credit intermediation  [5223]","","","","","","","","","","","1,615","1,485","2,148","1,884","1,921","2,099","2,221","2,379","2,688","2,791","2,973","3,095","3,255",""
,,,"Insurance carriers and related activities  [524]","24,285","24,915","25,409","27,547","27,572","26,611","26,268","27,893","27,881","29,853","29,580","27,648","27,930","27,776","28,455","29,449","29,713","29,886","30,703","31,112","31,633","32,036","32,632",""
,,,"Insurance carriers  [5241]","16,623","17,274","17,661","19,007","18,644","18,301","18,086","19,349","19,252","20,965","20,999","19,590","19,729","19,697","20,165","21,091","21,187","21,528","22,228","22,320","22,492","22,463","23,043",""
,,,"Agencies, brokerages and other insurance related activities  [5242]","7,831","7,764","7,864","8,693","9,150","8,468","8,332","8,660","8,773","8,935","8,572","8,057","8,212","8,080","8,292","8,358","8,523","8,371","8,498","8,783","9,087","9,447","9,496",""
,,,"Financial investment services, funds and other financial vehicles  [52A] 4","6,735","6,898","7,867","8,534","9,074","9,533","9,760","10,892","11,903","13,766","14,571","13,943","12,983","13,625","14,415","14,290","15,401","16,721","17,392","18,343","18,951","19,267","19,747",""
,,,"Real estate and rental and leasing  [53]","128,893","132,708","138,567","143,785","148,989","155,757","159,429","164,169","170,935","175,644","181,749","186,130","191,269","197,448","203,639","210,100","215,931","222,014","228,619","234,251","240,108","244,363","250,900",""
,,,"Real estate  [531]","124,828","127,969","132,923","137,320","141,333","147,976","151,307","155,655","161,887","166,099","170,843","174,946","180,062","185,855","191,302","197,061","202,855","208,622","215,093","221,377","226,708","230,694","237,010",""
,,,"Lessors of real estate  [5311]","35,241","35,827","38,079","39,903","41,447","42,449","42,788","43,640","45,473","46,046","47,457","49,315","50,009","51,684","53,074","54,428","55,858","56,936","57,987","59,740","61,636","63,215","64,839",""
,,,"Owner-occupied dwellings  [5311A]","79,841","82,148","84,520","86,844","88,636","92,604","95,330","98,581","102,809","106,712","109,640","113,967","118,046","122,414","126,456","130,729","135,207","139,734","144,443","148,833","153,023","157,330","161,357",""
,,,"Offices of real estate agents and brokers and activities related to real estate  [531A] 4","9,516","9,778","10,003","10,159","11,142","13,564","13,814","14,007","14,064","13,667","14,087","11,729","12,059","11,766","11,774","11,905","11,789","11,954","12,648","12,812","12,214","10,630","11,250",""
,,,"Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [53B] 4","","","","","","","","","","","10,902","11,179","11,214","11,599","12,339","13,039","13,075","13,389","13,507","12,782","13,319","13,589","13,798",""
,,,"Rental and leasing services  [532]","","","","","","","","","","","9,120","9,545","9,496","9,851","10,634","11,179","11,290","11,622","11,799","11,045","11,597","11,881","12,086",""
,,,"Automotive equipment rental and leasing  [5321]","2,484","2,781","2,854","3,086","3,351","3,434","3,327","3,350","3,622","3,795","3,699","3,640","3,450","3,528","3,708","3,715","3,683","3,690","3,762","3,774","4,008","3,993","4,081",""
,,,"Rental and leasing services (except automotive equipment)  [532A] 4","","","","","","","","","","","5,459","5,924","6,051","6,326","6,927","7,464","7,607","7,935","8,039","7,264","7,579","7,883","7,999",""
,,,"Lessors of non-financial intangible assets (except copyrighted works)  [533]","","","","","","","","","","","1,792","1,633","1,724","1,751","1,704","1,860","1,784","1,766","1,708","1,733","1,721","1,707","1,713",""
,,,"Professional, scientific and technical services  [54]","53,508","59,722","65,657","72,381","73,321","74,443","77,263","78,713","81,087","85,413","88,956","91,961","89,641","89,805","94,167","96,785","99,402","104,517","104,164","106,553","109,519","113,065","118,125",""
,,,"Legal, accounting and related services  [541A] 4","17,749","18,356","19,363","20,079","20,498","20,891","20,783","21,073","21,272","21,872","22,502","22,658","21,719","22,291","23,143","23,424","23,387","23,648","24,195","24,798","25,167","25,428","26,287",""
,,,"Legal services  [5411]","","","","","","","","","","","13,684","13,184","11,886","12,183","12,731","12,879","12,463","12,423","12,391","12,947","12,941","12,833","13,060",""
,,,"Accounting, tax preparation, bookkeeping and payroll services  [5412]","","","","","","","","","","","8,832","9,475","9,835","10,110","10,412","10,545","10,938","11,252","11,860","11,892","12,277","12,657","13,300",""
,,,"Architectural, engineering and related services  [5413]","13,960","15,211","14,206","15,076","15,047","15,618","15,838","15,906","17,117","18,445","19,170","20,888","20,484","20,921","23,232","24,991","23,471","25,355","24,213","23,118","23,490","24,064","25,238",""
,,,"Computer systems design and related services  [5415]","6,476","8,389","11,439","12,868","13,669","14,664","16,127","16,524","16,676","18,058","19,220","20,183","20,572","20,650","21,927","21,956","23,248","25,151","25,546","27,047","28,895","30,722","32,654",""
,,,"Advertising, public relations, and related services  [5418]","3,338","3,382","3,939","4,212","4,288","4,104","4,131","4,164","4,465","4,627","4,772","4,568","4,486","4,475","4,193","4,009","4,622","5,136","5,507","5,793","5,843","5,894","6,060",""
,,,"Other professional, scientific and technical services including scientific research and development  [541B] 4","12,749","15,116","16,867","20,570","19,995","19,146","20,292","20,950","21,518","22,384","23,281","23,703","22,474","21,524","21,689","22,405","24,665","25,300","24,753","25,740","26,054","26,874","27,809",""
,,,"Specialized design services  [5414]","","","","","","","","","","","1,965","2,036","1,617","1,404","1,427","1,535","1,482","1,495","1,423","1,418","1,434","1,408","1,395",""
,,,"Management, scientific and technical consulting services  [5416]","","","","","","","","","","","9,304","9,617","9,196","9,482","9,193","9,565","11,666","12,104","11,477","12,123","12,622","13,156","13,547",""
,,,"Scientific research and development services  [5417]","","","","","","","","","","","5,587","5,559","5,615","5,227","5,571","5,353","5,265","5,327","5,180","5,223","4,820","5,014","5,327",""
,,,"Other professional, scientific and technical services  [5419]","","","","","","","","","","","6,518","6,576","6,078","5,416","5,496","5,952","6,292","6,423","6,715","7,024","7,229","7,347","7,591",""
,,,"Management of companies and enterprises  [55]","","","","","","","","","","","10,730","11,738","11,709","11,290","11,422","11,444","12,188","11,360","11,830","10,110","9,539","9,451","9,359",""
,,,"Administrative and support, waste management and remediation services  [56]","26,957","28,816","31,642","33,155","34,867","37,854","38,950","41,428","43,475","44,631","46,845","46,282","44,236","45,031","45,629","47,801","48,140","50,049","50,982","50,970","51,107","51,429","52,173",""
,,,"Administrative and support services  [561]","25,613","27,487","30,293","31,780","33,131","35,589","36,381","38,456","40,300","41,189","43,184","42,311","40,032","40,617","40,820","42,658","42,735","44,208","45,279","44,917","45,067","45,145","45,652",""
,,,"Office administrative services  [5611]","","","","","","","","","","","7,878","8,133","8,901","8,833","8,166","8,467","8,550","8,617","8,942","8,826","8,239","6,985","6,726",""
,,,"Employment services  [5613]","","","","","","","","","","","7,796","7,327","6,393","6,165","6,469","7,115","7,280","7,771","8,103","8,047","8,360","8,458","8,488",""
,,,"Business support services  [5614]","","","","","","","","","","","5,437","5,100","4,422","4,492","4,320","4,447","4,453","4,841","4,816","4,971","5,141","5,145","4,908",""
,,,"Travel arrangement and reservation services  [5615]","","","","","","","","","","","3,031","2,775","2,635","2,730","2,736","2,744","2,652","2,640","2,615","2,591","2,560","2,521","2,595",""
,,,"Investigation and security services  [5616]","","","","","","","","","","","4,155","4,242","3,962","4,096","4,028","4,141","4,295","4,324","4,134","4,289","4,411","4,747","4,960",""
,,,"Services to buildings and dwellings  [5617]","","","","","","","","","","","8,860","8,828","8,231","8,369","8,777","8,583","8,276","8,547","8,657","8,597","8,905","9,363","9,840",""
,,,"Facilities and other support services  [561A] 4","","","","","","","","","","","6,416","6,159","5,570","5,970","6,341","7,161","7,232","7,475","8,047","7,594","7,437","7,887","8,063",""
,,,"Waste management and remediation services  [562]","1,522","1,556","1,635","1,686","1,985","2,445","2,703","3,070","3,269","3,509","3,722","3,984","4,199","4,410","4,808","5,143","5,408","5,852","5,706","6,065","6,051","6,302","6,545",""
,,,"Educational services  [61]","68,096","68,747","70,306","71,119","71,263","73,514","75,206","77,361","79,807","81,645","85,062","88,088","89,418","91,166","91,927","93,705","95,112","96,452","97,640","98,244","99,450","102,193","104,389",""
,,,"Elementary and secondary schools  [6111]","","","","","","","","","","","48,203","50,198","50,042","50,226","49,890","51,241","51,220","51,331","52,529","52,660","53,167","54,899","55,985",""
,,,"Community colleges and C.E.G.E.P.s  [6112]","","","","","","","","","","","7,392","7,622","7,870","8,117","8,291","8,331","8,308","8,371","8,291","8,249","8,282","8,406","8,603",""
,,,"Universities  [6113]","16,472","16,505","16,974","17,470","17,857","19,161","20,630","21,971","23,309","24,470","25,656","26,465","27,598","28,922","29,715","30,073","31,473","32,649","32,720","33,176","33,707","34,377","35,032",""
,,,"Other educational services  [611A] 4","","","","","","","","","","","3,874","3,875","3,926","3,895","4,038","4,060","4,126","4,146","4,136","4,205","4,343","4,553","4,801",""
,,,"Health care and social assistance  [62]","88,491","90,431","92,624","95,819","97,402","99,877","102,897","104,862","106,532","108,680","111,310","113,826","116,492","118,226","120,291","122,167","122,357","124,221","126,012","128,970","131,393","135,454","139,843",""
,,,"Ambulatory health care services  [621]","","","","","","","","","","","43,351","44,299","45,525","45,903","46,942","47,808","47,818","48,768","49,350","50,436","51,488","53,088","55,436",""
