"CAGDP9 Real GDP by county and metropolitan area 1/"
"(Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"08009","Baca, CO","13","      Durable goods manufacturing",60,91,51,41,7,0,1,68,74
"08009","Baca, CO","25","      Nondurable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)",273,298
"08009","Baca, CO","34","    Wholesale trade",3479,3860,4438,4706,4815,4674,4564,4723,4787
"08009","Baca, CO","35","    Retail trade",8412,6642,6799,6431,6425,6423,7319,7457,7563
"08009","Baca, CO","36","    Transportation and warehousing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08009","Baca, CO","45","    Information","(D)","(D)","(D)","(D)","(D)","(D)","(D)",543,724
"08009","Baca, CO","50","    Finance, insurance, real estate, rental, and leasing",41188,41339,40034,38050,36655,36461,37742,39213,40047
"08009","Baca, CO","51","      Finance and insurance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08009","Baca, CO","56","      Real estate and rental and leasing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08009","Baca, CO","59","    Professional and business services","(D)","(D)","(D)","(D)","(D)",14229,"(D)",16008,16305
"08009","Baca, CO","60","      Professional, scientific, and technical services","(D)","(D)","(D)","(D)","(D)","(D)",555,"(D)","(D)"
"08009","Baca, CO","64","      Management of companies and enterprises",11347,12242,14160,12806,13467,13435,12324,14856,14703
"08009","Baca, CO","65","      Administrative and support and waste management and remediation services",258,230,241,196,112,"(D)","(D)","(D)","(D)"
"08009","Baca, CO","68","    Educational services, health care, and social assistance",1190,1392,1263,1330,1320,1302,1307,1041,1040
"08009","Baca, CO","69","      Educational services",131,81,69,"(D)","(D)","(D)","(D)","(D)","(D)"
"08009","Baca, CO","70","      Health care and social assistance",1060,1311,1194,"(D)","(D)","(D)","(D)","(D)","(D)"
"08009","Baca, CO","75","    Arts, entertainment, recreation, accommodation, and food services",820,784,"(D)",1184,1405,1458,1025,"(D)","(D)"
"08009","Baca, CO","76","      Arts, entertainment, and recreation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08009","Baca, CO","79","      Accommodation and food services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08009","Baca, CO","82","    Other services (except government and government enterprises)",3752,3562,3189,2757,2489,2501,2638,2719,2773
"08009","Baca, CO","83","Government and government enterprises",33144,32239,30229,29444,29854,30717,31236,31200,31314
"08009","Baca, CO","","Addenda:","","","","","","","","",""
"08009","Baca, CO","87","Natural resources and mining",109555,95172,29399,63988,23308,7644,13028,11128,21662
"08009","Baca, CO","88","Trade",11894,10501,11238,11137,11241,11098,11885,12182,12353
"08009","Baca, CO","89","Transportation and utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08009","Baca, CO","90","Manufacturing and information",3092,2267,1591,1467,1137,746,497,910,1110
"08009","Baca, CO","91","Private goods-producing industries 2/",114214,100315,34361,69320,27228,10944,15553,13950,23120
"08009","Baca, CO","92","Private services-providing industries 3/",79704,78921,81306,77067,75391,73523,72841,79369,81874
"08011","Bent, CO","1","All industry total",181098,186608,164357,171723,167051,172963,181238,163672,165660
"08011","Bent, CO","2","  Private industries",138725,149791,138708,148171,144009,149919,158006,139812,141182
"08011","Bent, CO","3","    Agriculture, forestry, fishing and hunting",43540,53552,42698,53016,50784,53628,65127,36866,31884
"08011","Bent, CO","6","    Mining, quarrying, and oil and gas extraction",1052,646,620,674,755,714,629,641,1603
"08011","Bent, CO","10","    Utilities",14839,13859,14136,13087,12146,12088,13390,11591,12570
"08011","Bent, CO","11","    Construction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08011","Bent, CO","12","    Manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08011","Bent, CO","13","      Durable goods manufacturing",51,159,258,231,94,140,112,130,135
"08011","Bent, CO","25","      Nondurable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08011","Bent, CO","34","    Wholesale trade",623,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08011","Bent, CO","35","    Retail trade",3918,3792,3451,3641,3648,3801,4160,4285,4511
"08011","Bent, CO","36","    Transportation and warehousing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08011","Bent, CO","45","    Information","(D)","(D)","(D)","(D)","(D)","(D)",3442,3277,3145
"08011","Bent, CO","50","    Finance, insurance, real estate, rental, and leasing",38343,40098,39037,37431,36559,36737,37946,38696,40184
"08011","Bent, CO","51","      Finance and insurance",3944,5163,4980,"(D)","(D)","(D)","(D)","(D)","(D)"
"08011","Bent, CO","56","      Real estate and rental and leasing",34366,34936,34057,"(D)","(D)","(D)","(D)","(D)","(D)"
"08011","Bent, CO","59","    Professional and business services","(D)","(D)","(D)","(D)","(D)",26074,"(D)","(D)","(D)"
"08011","Bent, CO","60","      Professional, scientific, and technical services",578,542,457,318,476,"(D)",392,509,533
"08011","Bent, CO","64","      Management of companies and enterprises",11347,12242,14160,12806,13468,13436,12325,14857,14704
"08011","Bent, CO","65","      Administrative and support and waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08011","Bent, CO","68","    Educational services, health care, and social assistance",2314,2542,2466,2773,3210,2954,3059,2967,2834
"08011","Bent, CO","69","      Educational services",108,90,72,55,49,36,50,60,60
"08011","Bent, CO","70","      Health care and social assistance",2207,2452,2394,2718,3163,2920,3009,2906,2773
"08011","Bent, CO","75","    Arts, entertainment, recreation, accommodation, and food services",1929,1902,2029,2552,2502,2742,2045,2225,2367
"08011","Bent, CO","76","      Arts, entertainment, and recreation",0,15,"(D)","(D)",658,746,278,360,"(D)"
"08011","Bent, CO","79","      Accommodation and food services",1929,1888,"(D)","(D)",1850,2002,1763,1863,"(D)"
"08011","Bent, CO","82","    Other services (except government and government enterprises)","(D)",2311,"(D)","(D)",1865,1737,"(D)","(D)","(D)"
"08011","Bent, CO","83","Government and government enterprises",42133,36829,25648,23569,23054,23132,23455,23606,24168
"08011","Bent, CO","","Addenda:","","","","","","","","",""
"08011","Bent, CO","87","Natural resources and mining",44757,54183,43318,53688,51546,54362,65882,37475,33248
"08011","Bent, CO","88","Trade",4541,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08011","Bent, CO","89","Transportation and utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"08011","Bent, CO","90","Manufacturing and information",759,1348,1337,1344,1766,3271,"(D)","(D)","(D)"
"08011","Bent, CO","91","Private goods-producing industries 2/",46132,55990,45059,55896,53263,56304,68062,40887,37215
"08011","Bent, CO","92","Private services-providing industries 3/",91835,93877,93649,92251,90668,93709,93094,94272,97728
"08013","Boulder, CO*","1","All industry total",20453633,20369551,20432621,20865085,21597092,22669578,23423069,24607654,25319458
