IncidentYear,County,Agency,NCICCODE,AgeGroup,Gender,RaceCode,Location,LocationGroup,NumberOfCases
2016,Montrose,Montrose PD,MJPossession,,,,Government/Public Building,Public building,1
2016,Montrose,Montrose PD,MJPossession,,,,Other/Unknown,Other,1
2016,Montrose,Montrose PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,6
2016,Pitkin,Pitkin County SO,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,3
2016,Pueblo,Pueblo County SO,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,5
2016,Pueblo,Pueblo County SO,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Pueblo,Pueblo County SO,MJUnknown,,,,Jail/Prison/Penitentiary/Corrections Facility,Jail/Prison/Penitentiary/Corrections Facility,1
2016,Pueblo,Pueblo County SO,MJUnknown,,,,Residence/Home,Residence/Home,15
2016,Pueblo,Pueblo PD,MJUnknown,,,,Dock/Wharf/Freight/Modal Terminal,Workplace,2
2016,Pueblo,Pueblo PD,MJUnknown,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,2
2016,Routt,Steamboat Springs PD,MJPossession,,,,Other/Unknown,Other,1
2016,Routt,Steamboat Springs PD,MJPossession,,,,Restaurant,Restaurant,1
2016,Routt,Steamboat Springs PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,8
2016,Summit,Breckenridge PD,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Summit,Dillion PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Teller,Cripple Creek PD,MJPossession,,,,Residence/Home,Residence/Home,1
2016,Teller,Woodland Park PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Teller,Woodland Park PD,MJPossession,,,,Park/Playground,Public space,1
2016,Washington,Washington County SO,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2016,Weld,DPS - UNIVERSITY OF NORTHERN COLORADO - GREELEY,MJPossession,,,,Residence/Home,Residence/Home,15
2016,Weld,Eaton PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,2
2016,Weld,Evans PD,MJPossession,,,,Park/Playground,Public space,1
2016,Weld,Evans PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,2
2016,Weld,Firestone PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,6
2016,Weld,Fort Lupton PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Weld,Garden City PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2016,Weld,Greeley PD,MJPossession,,,,Department/Discount Store,Retail site/bank/restaurant/bar,2
2016,Weld,Greeley PD,MJPossession,,,,Government/Public Building,Public building,1
2016,Weld,Greeley PD,MJPossession,,,,Other/Unknown,Other,5
2016,Weld,Greeley PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,35
2017,,Bow Mar PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,2
2017,,Colorado State Patrol,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,224
2017,Adams,Adams County SO,MJPossession,,,,Commercial/Office Building,Workplace,1
2017,Adams,Adams County SO,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,16
2017,Adams,Adams County SO,MJSales,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2017,Adams,Adams County SO,MJUnknown,,,,Grocery/Supermarket,Retail site/bank/restaurant/bar,1
2017,Adams,Adams County SO,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,10
2017,Adams,Adams County SO,MJUnknown,,,,Hotel/Motel/Etc.,Hotel/Motel/Etc.,1
2017,Adams,Adams County SO,MJUnknown,,,,Other/Unknown,Other,1
2017,Adams,Brighton PD,MJPossession,,,,Other/Unknown,Other,1
2017,Adams,Brighton PD,MJPossession,,,,Park/Playground,Public space,8
2017,Adams,Brighton PD,MJPossession,,,,Residence/Home,Residence/Home,3
2017,Adams,Brighton PD,MJUnknown,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2017,Adams,Commerce City PD,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,23
2017,Adams,Commerce City PD,MJPossession,,,,Specialty Store,Specialty Store,1
