CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/,,,,,,,,,,,,
(Thousands of current dollars) ,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,
County,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018
6003,"Alpine, CA",6,"    Mining, quarrying, and oil and gas extraction",0,0,0,(D),0,(D),0,0,0
6003,"Alpine, CA",10,    Utilities,274,(D),261,272,265,304,393,(D),365
6003,"Alpine, CA",11,    Construction,2779,1967,(D),(D),2390,(D),1026,(D),(D)
6003,"Alpine, CA",12,    Manufacturing,316,158,5,39,19,(D),(D),(D),(D)
6003,"Alpine, CA",13,      Durable goods manufacturing,146,110,0,10,4,(D),(D),(D),(D)
6003,"Alpine, CA",25,      Nondurable goods manufacturing,170,48,5,29,15,463,(D),(D),(D)
6003,"Alpine, CA",34,    Wholesale trade,(D),(D),3412,(D),2409,2754,2548,2737,2926
6003,"Alpine, CA",35,    Retail trade,859,(D),525,605,736,850,823,793,(D)
6003,"Alpine, CA",36,    Transportation and warehousing,10,12,(D),(D),(D),(D),(D),152,147
6003,"Alpine, CA",45,    Information,653,191,77,368,161,(D),(D),(D),(D)
6003,"Alpine, CA",50,"    Finance, insurance, real estate, rental, and leasing",(D),25471,24387,26418,29352,34494,36070,38534,40341
6003,"Alpine, CA",51,      Finance and insurance,(D),6,0,0,0,0,3,0,0
6003,"Alpine, CA",56,      Real estate and rental and leasing,25523,25465,24387,26418,29352,34494,36067,38534,40341
6003,"Alpine, CA",59,    Professional and business services,(D),82832,91478,100897,102749,105258,108991,111225,127450
6003,"Alpine, CA",60,"      Professional, scientific, and technical services",(D),(D),(D),(D),20940,(D),(D),(D),(D)
6003,"Alpine, CA",64,      Management of companies and enterprises,63067,66206,70456,80491,81410,83069,87614,89605,104142
6003,"Alpine, CA",65,      Administrative and support and waste management and remediation services,(D),(D),(D),(D),399,(D),(D),(D),(D)
6003,"Alpine, CA",68,"    Educational services, health care, and social assistance",(D),924,(D),1460,931,1019,1008,926,922
6003,"Alpine, CA",69,      Educational services,(D),11,13,87,69,110,122,126,138
6003,"Alpine, CA",70,      Health care and social assistance,(D),912,(D),1373,862,909,886,800,784
6003,"Alpine, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",30689,27705,24982,21248,30747,30825,30536,30251,(D)
6003,"Alpine, CA",76,"      Arts, entertainment, and recreation",(D),6910,8503,7376,(D),(D),(D),(D),(D)
6003,"Alpine, CA",79,      Accommodation and food services,(D),20795,16479,13872,(D),(D),(D),(D),(D)
6003,"Alpine, CA",82,    Other services (except government and government enterprises),(D),(D),(D),(D),(D),(D),1425,1271,(D)
6003,"Alpine, CA",83,Government and government enterprises,17733,18755,18987,21238,21705,22688,22699,20160,20294
6003,"Alpine, CA",,Addenda:,,,,,,,,,
6003,"Alpine, CA",87,Natural resources and mining,110,9,40,91,38,131,118,163,188
6003,"Alpine, CA",88,Trade,(D),2812,3937,(D),3146,3604,3371,3530,(D)
6003,"Alpine, CA",89,Transportation and utilities,284,(D),(D),(D),(D),(D),(D),(D),512
6003,"Alpine, CA",90,Manufacturing and information,969,349,82,407,180,2039,2611,2278,2440
6003,"Alpine, CA",91,Private goods-producing industries 2/,3205,2134,(D),(D),2446,(D),(D),1355,(D)
6003,"Alpine, CA",92,Private services-providing industries 3/,126772,141657,(D),(D),168885,(D),(D),188282,(D)
6005,"Amador, CA",1,All industry total,1406458,1416722,1372634,1460242,1540876,1626075,1692374,1759321,1864239
6005,"Amador, CA",2,  Private industries,1025509,1050297,1023191,1107575,1177241,1231251,1280046,1320941,1407394
6005,"Amador, CA",3,"    Agriculture, forestry, fishing and hunting",8881,(D),(D),41814,35768,40525,43732,45891,56940
6005,"Amador, CA",6,"    Mining, quarrying, and oil and gas extraction",26792,27323,32697,24769,15185,10478,13005,16599,20696
6005,"Amador, CA",10,    Utilities,(D),(D),(D),101095,90019,(D),(D),(D),(D)
6005,"Amador, CA",11,    Construction,79128,65775,55435,58267,108464,125242,75721,70649,103647
6005,"Amador, CA",12,    Manufacturing,61939,75658,86343,105784,108682,115408,117591,120553,118401
6005,"Amador, CA",13,      Durable goods manufacturing,20163,21502,24759,28587,28247,31523,26504,26458,28704
6005,"Amador, CA",25,      Nondurable goods manufacturing,41777,54156,61584,77198,80434,83885,91087,94095,89696
6005,"Amador, CA",34,    Wholesale trade,(D),(D),(D),19026,17725,(D),(D),(D),(D)
6005,"Amador, CA",35,    Retail trade,116234,96702,85019,87193,87471,91364,91347,97081,102744
6005,"Amador, CA",36,    Transportation and warehousing,9810,10610,12311,17291,13567,13912,14230,15844,16782
6005,"Amador, CA",45,    Information,26902,26923,28391,33881,37465,43910,50824,50909,50960
6005,"Amador, CA",50,"    Finance, insurance, real estate, rental, and leasing",295902,294506,289285,316918,346013,366489,387717,400642,427302
6005,"Amador, CA",51,      Finance and insurance,40471,41035,38020,36409,38905,42846,43109,33956,36044
6005,"Amador, CA",56,      Real estate and rental and leasing,255430,253471,251265,280510,307108,323643,344608,366685,391259
6005,"Amador, CA",59,    Professional and business services,123747,133227,133834,139887,145022,146921,145409,152025,170169
6005,"Amador, CA",60,"      Professional, scientific, and technical services",41815,49131,46367,44417,45656,46434,38604,41370,44583
6005,"Amador, CA",64,      Management of companies and enterprises,(D),68663,72861,(D),84706,(D),(D),(D),(D)
6005,"Amador, CA",65,      Administrative and support and waste management and remediation services,(D),15434,14606,(D),14660,(D),(D),(D),(D)
6005,"Amador, CA",68,"    Educational services, health care, and social assistance",95838,98602,96754,98390,103504,113040,122786,133900,139510
6005,"Amador, CA",69,      Educational services,(D),1453,1636,(D),(D),(D),(D),(D),(D)
6005,"Amador, CA",70,      Health care and social assistance,(D),97149,95117,(D),(D),(D),(D),(D),(D)
6005,"Amador, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",30314,29704,30349,34161,37258,38442,41673,47342,51766
6005,"Amador, CA",76,"      Arts, entertainment, and recreation",6959,6357,6268,6280,7183,6760,6968,6764,6894
6005,"Amador, CA",79,      Accommodation and food services,23355,23347,24081,27881,30075,31682,34705,40578,44872
6005,"Amador, CA",82,    Other services (except government and government enterprises),29954,29826,27455,29098,31099,33312,34099,35330,37826
6005,"Amador, CA",83,Government and government enterprises,380949,366424,349443,352667,363636,394823,412328,438380,456845
6005,"Amador, CA",,Addenda:,,,,,,,,,
6005,"Amador, CA",87,Natural resources and mining,35673,(D),(D),66583,50953,51003,56737,62490,77636
6005,"Amador, CA",88,Trade,(D),(D),(D),106218,105196,(D),(D),(D),(D)
6005,"Amador, CA",89,Transportation and utilities,(D),(D),(D),118386,103585,(D),(D),(D),(D)
6005,"Amador, CA",90,Manufacturing and information,88841,102581,114735,139666,146147,159317,168414,171462,169361
6005,"Amador, CA",91,Private goods-producing industries 2/,176741,(D),(D),230635,268098,291652,250049,253692,299684
6005,"Amador, CA",92,Private services-providing industries 3/,848769,(D),(D),876940,909143,939599,1029997,1067249,1107710
6007,"Butte, CA",1,All industry total,7557997,7762340,7682299,8341599,8289012,8763463,9331561,9862966,10332996
